"","study","time","cra","cra_lower","cra_upper","msl","msl_lower","msl_upper","sortby","display","cra_0","msl_0","cra_se","msl_se","cra_k","msl_k"
"530","M20-466",24,1.04400500766395,1.02705095919531,1.06123892516625,1.22974158065352,1.08304385060192,1.39630944245494,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"531","M20-466",25,1.03973357870062,1.0244444611116,1.05525087568397,1.22392674385442,1.08106546099998,1.38566694466073,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"532","M20-466",26,1.03588385733211,1.0220918059865,1.04986201786987,1.21827173502499,1.07913590454717,1.37534671407639,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"533","M20-466",27,1.03241291933476,1.01996778309922,1.04500990489191,1.21277157048645,1.07725389792215,1.36533725709151,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"534","M20-466",28,1.0292824425214,1.01804977404266,1.04063904682761,1.20742144899261,1.07541819506212,1.35562757091273,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"535","M20-466",29,1.02645817197346,1.01631747034164,1.03670005638781,1.202216743849,1.07362758592493,1.3462071188733,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"536","M20-466",30,1.02390945453997,1.01475262460005,1.03314891302651,1.19715299542546,1.07188089529898,1.3370658071636,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"537","M20-466",31,1.02160883246072,1.01333883072954,1.02994632684744,1.19222590404022,1.07017698165878,1.32819396289139,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"538","M20-466",32,1.01953168763838,1.01206132947633,1.02705718697561,1.1874313231945,1.06851473606412,1.31958231338687,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"539","M20-466",33,1.01765592945023,1.01090683601711,1.02445008169643,1.18276525313845,1.06689308110095,1.3112219666736,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
