"name","eng","country","region","study","priority","log_avg_sr","se_sr","avg_log_mult","se_mult","CRA_Window","MSL_Window","avg_mult","sortby","display"
"M20-370 Poland CRA Engaged","CRA Window","Poland","Overall","M20-370","Overall",NA,NA,1.4095511080936,0.810361873754818,16,22,4.09411717545517,"Immunology >> M20-370","   M20-370"
"M20-370 Poland MSL Engaged","MSL Window","Poland","Overall","M20-370","Overall",NA,NA,-0.277547671494798,0.627740046693331,16,22,0.75763944593716,"Immunology >> M20-370","   M20-370"
"M20-370 Spain CRA Engaged","CRA Window","Spain","Overall","M20-370","Overall",NA,NA,1.11957586177312,0.813664544441715,16,22,3.06355455709987,"Immunology >> M20-370","   M20-370"
"M20-370 Spain MSL Engaged","MSL Window","Spain","Overall","M20-370","Overall",NA,NA,0.44685163046207,0.678681791648976,16,22,1.56338232376481,"Immunology >> M20-370","   M20-370"
"M20-370 United States of America CRA Engaged","CRA Window","United States of America","Overall","M20-370","Overall",NA,NA,0.274099854765552,0.383588390637554,16,22,1.31534613926166,"Immunology >> M20-370","   M20-370"
"M20-370 United States of America MSL Engaged","MSL Window","United States of America","Overall","M20-370","Overall",NA,NA,-0.2848757274915,0.442802886348116,16,22,0.75210771482436,"Immunology >> M20-370","   M20-370"
"M20-466 CRA Engaged","CRA Window","Overall","Overall","M20-466","Overall",NA,NA,0.442225364480081,0.095900502779462,12,25,1.5561664055518,"Immunology >> M20-466","   M20-466"
"M20-466 MSL Engaged","MSL Window","Overall","Overall","M20-466","Overall",NA,NA,0.474832950608044,0.124960224727994,12,25,1.60774560212681,"Immunology >> M20-466","   M20-466"
"M20-466 Czechia CRA Engaged","CRA Window","Czechia","Overall","M20-466","Overall",NA,NA,1.1616779157684,0.525172568893388,12,25,3.1952902084441,"Immunology >> M20-466","   M20-466"
"M20-466 Czechia MSL Engaged","MSL Window","Czechia","Overall","M20-466","Overall",NA,NA,-1.35404802536178,0.830506351950189,12,25,0.258192970654344,"Immunology >> M20-466","   M20-466"
"M20-466 Germany CRA Engaged","CRA Window","Germany","Overall","M20-466","Overall",NA,NA,-0.141005318639298,0.543838574662723,12,25,0.868484692528569,"Immunology >> M20-466","   M20-466"
"M20-466 Germany MSL Engaged","MSL Window","Germany","Overall","M20-466","Overall",NA,NA,0.648313604994764,0.613755775953216,12,25,1.91231319282722,"Immunology >> M20-466","   M20-466"
"M20-466 Poland CRA Engaged","CRA Window","Poland","Overall","M20-466","Overall",NA,NA,1.37725893718447,0.758653578591782,12,25,3.96402109137722,"Immunology >> M20-466","   M20-466"
"M20-466 Poland MSL Engaged","MSL Window","Poland","Overall","M20-466","Overall",NA,NA,-0.521893036025978,0.566866934526976,12,25,0.593396163740407,"Immunology >> M20-466","   M20-466"
"M20-466 Spain CRA Engaged","CRA Window","Spain","Overall","M20-466","Overall",NA,NA,0.996557539196594,0.541830900052782,12,25,2.70894033789466,"Immunology >> M20-466","   M20-466"
"M20-466 Spain MSL Engaged","MSL Window","Spain","Overall","M20-466","Overall",NA,NA,-0.44881963609331,0.689552297255927,12,25,0.638381229243223,"Immunology >> M20-466","   M20-466"
"M20-466 United States of America CRA Engaged","CRA Window","United States of America","Overall","M20-466","Overall",NA,NA,0.00297787221778498,0.215369782921142,12,25,1.00298231048369,"Immunology >> M20-466","   M20-466"
"M20-466 United States of America MSL Engaged","MSL Window","United States of America","Overall","M20-466","Overall",NA,NA,-0.0737942935178337,0.368239627788573,12,25,0.928862747278306,"Immunology >> M20-466","   M20-466"
"M22-000 CRA Engaged","CRA Window","Overall","Overall","M22-000","Overall",NA,NA,0.240757857719044,0.108812585941403,25,28,1.27221294146495,"Immunology >> M22-000","   M22-000"
"M22-000 MSL Engaged","MSL Window","Overall","Overall","M22-000","Overall",NA,NA,0.333954070868913,0.191044401720914,25,28,1.39647900303437,"Immunology >> M22-000","   M22-000"
"M22-000 Australia CRA Engaged","CRA Window","Australia","Overall","M22-000","Overall",NA,NA,-0.477091598952681,0.613274070160856,25,28,0.620585681691395,"Immunology >> M22-000","   M22-000"
"M22-000 Australia MSL Engaged","MSL Window","Australia","Overall","M22-000","Overall",NA,NA,-0.163998026923801,0.922460341027709,25,28,0.848743696514541,"Immunology >> M22-000","   M22-000"
"M22-000 Germany CRA Engaged","CRA Window","Germany","Overall","M22-000","Overall",NA,NA,-0.631391490150696,0.323969550160069,25,28,0.531851220136443,"Immunology >> M22-000","   M22-000"
"M22-000 Germany MSL Engaged","MSL Window","Germany","Overall","M22-000","Overall",NA,NA,0.466951015678288,0.581484167675587,25,28,1.59512326547204,"Immunology >> M22-000","   M22-000"
"M22-000 Japan CRA Engaged","CRA Window","Japan","Overall","M22-000","Overall",NA,NA,-0.25003058670916,0.525968484926739,25,28,0.778776962482658,"Immunology >> M22-000","   M22-000"
"M22-000 Japan MSL Engaged","MSL Window","Japan","Overall","M22-000","Overall",NA,NA,0.9876103651294,0.868517028093633,25,28,2.68481108244408,"Immunology >> M22-000","   M22-000"
"M22-000 New Zealand CRA Engaged","CRA Window","New Zealand","Overall","M22-000","Overall",NA,NA,0.455818614055214,0.380165637555807,25,28,1.57746418898266,"Immunology >> M22-000","   M22-000"
"M22-000 New Zealand MSL Engaged","MSL Window","New Zealand","Overall","M22-000","Overall",NA,NA,0.115813738373743,0.637985108673519,25,28,1.12278672057489,"Immunology >> M22-000","   M22-000"
